issuer_code,issuer_name,asset_or_project,product,route,asset_state,capacity_tpa,ownership_share,effective_from,effective_to,filing_publish_datetime,source_ids_json,filing_urls_json,source_sha256s_json,page_or_table,evidence_status,notes,closure_visibility_date,closure_source_ids_json,closure_filing_urls_json,closure_source_sha256s_json
002221.SZ,东华能源,茂名一期1.1期PP装置,PP,propane_PDH,operating,400000,当前精确权益未闭合,2024-12-31,,2025-04-23,"[""002221-2024-annual""]","[""http://static.cninfo.com.cn/finalpage/2025-04-23/1223212120.PDF""]","[""c3adc77d8dfaed551fe4c059e8423232742977b7e457674e4c421fe849a88a21""]",PDF p.12-14,partial,2024年报确认年末运行，正式转换日未披露。,,[],[],[]
002493.SZ,荣盛石化,浙石化4000万吨/年炼化一体化项目一期PE,mixed_PE,oil_integrated,operating,750000,51%,2019-12-31,2022-04-25,2020-04-23,"[""002493-2017-annual"", ""002493-2019-annual""]","[""http://static.cninfo.com.cn/finalpage/2018-03-28/1204523318.PDF"", ""http://static.cninfo.com.cn/finalpage/2020-04-23/1207556041.PDF""]","[""daa0dc47e4a2ef7a198912decd47a0d2779780c2bd12069509edf44a690c5875"", ""51ae8b3c167c3203c30ad06e29bad671f736a520ed76a63f3d7f7e40706d1ddd""]","2017年报持股；2019年报 p.12,15,17",qualified,年末保守确认一期稳定运行；effective_to仅为后续总量口径边界。,2022-04-26,"[""002493-2021-annual""]","[""http://static.cninfo.com.cn/finalpage/2022-04-26/1213105311.PDF""]","[""1970cc4ed9b067f382552fd744e65f6ea64abe0c761853c891c94187a0771d22""]"
002493.SZ,荣盛石化,浙石化4000万吨/年炼化一体化项目一期PP,PP,oil_integrated,operating,900000,51%,2019-12-31,2022-04-25,2020-04-23,"[""002493-2017-annual"", ""002493-2019-annual""]","[""http://static.cninfo.com.cn/finalpage/2018-03-28/1204523318.PDF"", ""http://static.cninfo.com.cn/finalpage/2020-04-23/1207556041.PDF""]","[""daa0dc47e4a2ef7a198912decd47a0d2779780c2bd12069509edf44a690c5875"", ""51ae8b3c167c3203c30ad06e29bad671f736a520ed76a63f3d7f7e40706d1ddd""]","2017年报持股；2019年报 p.12,17",qualified,年末保守确认一期稳定运行；effective_to仅为证据口径边界。,2022-04-26,"[""002493-2021-annual""]","[""http://static.cninfo.com.cn/finalpage/2022-04-26/1213105311.PDF""]","[""1970cc4ed9b067f382552fd744e65f6ea64abe0c761853c891c94187a0771d22""]"
002493.SZ,荣盛石化,浙石化炼化一体化一期+二期PE合计,mixed_PE,oil_integrated,operating,1550000,51%,2022-04-26,,2022-04-26,"[""002493-2017-annual"", ""002493-2021-annual""]","[""http://static.cninfo.com.cn/finalpage/2018-03-28/1204523318.PDF"", ""http://static.cninfo.com.cn/finalpage/2022-04-26/1213105311.PDF""]","[""daa0dc47e4a2ef7a198912decd47a0d2779780c2bd12069509edf44a690c5875"", ""1970cc4ed9b067f382552fd744e65f6ea64abe0c761853c891c94187a0771d22""]","2017年报持股；2021年报 p.16,20,24",partial,二期全面投产和总产能明确；日期采用首次可见日。,,[],[],[]
002493.SZ,荣盛石化,浙石化炼化一体化一期+二期PP合计,PP,oil_integrated,operating,1800000,51%,2022-04-26,,2022-04-26,"[""002493-2017-annual"", ""002493-2021-annual""]","[""http://static.cninfo.com.cn/finalpage/2018-03-28/1204523318.PDF"", ""http://static.cninfo.com.cn/finalpage/2022-04-26/1213105311.PDF""]","[""daa0dc47e4a2ef7a198912decd47a0d2779780c2bd12069509edf44a690c5875"", ""1970cc4ed9b067f382552fd744e65f6ea64abe0c761853c891c94187a0771d22""]","2017年报持股；2021年报 p.16,20,24",partial,二期全面投产和总产能明确；日期采用首次可见日。,,[],[],[]
002648.SZ,卫星化学,连云港联合装置整体设计HDPE,HDPE,ethane_gas,planned,800000,100%,,,2022-03-22,"[""002648-2019-private-plan"", ""002648-2021-annual""]","[""http://static.cninfo.com.cn/finalpage/2020-03-05/1207344872.PDF"", ""http://static.cninfo.com.cn/finalpage/2022-03-22/1212636288.PDF""]","[""a469ca34d2fa49e03304c5aafe967165d9f0a70823a2efb34123f57c86a0d4ef"", ""ceb80fb419048e2bf2c02b28f362bdfe1137604c6711f58800d0d13037c144eb""]",PDF p.2 项目概况,partial,原始规划；不得从2020起视为运行。 路线依据来自2021年报，故路线最早可见日为2022-03-22。,,[],[],[]
002648.SZ,卫星化学,连云港联合装置整体设计LLDPE,LLDPE,ethane_gas,planned,550000,100%,,,2022-03-22,"[""002648-2019-private-plan"", ""002648-2021-annual""]","[""http://static.cninfo.com.cn/finalpage/2020-03-05/1207344872.PDF"", ""http://static.cninfo.com.cn/finalpage/2022-03-22/1212636288.PDF""]","[""a469ca34d2fa49e03304c5aafe967165d9f0a70823a2efb34123f57c86a0d4ef"", ""ceb80fb419048e2bf2c02b28f362bdfe1137604c6711f58800d0d13037c144eb""]",PDF p.2 项目概况,partial,原始规划；后续文件未闭合该55万吨LLDPE投产状态。 路线依据来自2021年报，故路线最早可见日为2022-03-22。,,[],[],[]
002648.SZ,卫星化学,连云港基地一期项目,mixed_PE,ethane_gas,operating,,100%,2021-12-31,,2022-03-22,"[""002648-2021-annual""]","[""http://static.cninfo.com.cn/finalpage/2022-03-22/1212636288.PDF""]","[""ceb80fb419048e2bf2c02b28f362bdfe1137604c6711f58800d0d13037c144eb""]","PDF p.11,14-15",partial,确认投产运行，但产品拆分和名义产能未绑定。,,[],[],[]
002648.SZ,卫星化学,连云港基地二阶段HDPE装置,HDPE,ethane_gas,operating,400000,100%,2022-08-27,,2023-04-29,"[""002648-2022-half-year"", ""002648-2022-annual-summary""]","[""http://static.cninfo.com.cn/finalpage/2022-08-30/1214450145.PDF"", ""http://static.cninfo.com.cn/finalpage/2023-04-29/1216687000.PDF""]","[""e20c3865be7173ecab1865f2ea610bb23b5b6b692fc3021bbf1cd07072058f8c"", ""c9537924e2efb25d76a1e6650e8783ae352e1cf79cdb52d0847b135e74d38466""]","半年报 p.10,12；年报摘要 p.2",qualified,投产日、产品、产能和轻烃路线由两份同期正式披露闭合。,,[],[],[]
600028.SH,中国石化,中科（广东）炼化2号EVA项目,other_PE,unknown,planned,100000,控股子公司；具体比例未在所用文件绑定,,,2023-11-11,"[""600028-2023-legal-reply"", ""600028-2023-accountant-reply""]","[""http://static.sse.com.cn/stock/disclosure/announcement/c/202311/600028_20231111_C0VR.pdf"", ""http://static.sse.com.cn/stock/disclosure/announcement/c/202311/600028_20231111_OS23.pdf""]","[""cd94a65700bbb519d3fae59ba41eb35de140b1a253de1312a1cdf17051cb8fc2"", ""235632826dccb5222b6bb5faedfff811c3a8e23c00bb3c805b937d1e605fbb7e""]","法律意见书 p.4,10-12；会计师回复 p.7-8,18",partial,容量明确；路线、权益比例和投产日未定。,,[],[],[]
600028.SH,中国石化,茂名分公司5万吨/年POE工业试验装置,other_PE,unknown,planned,50000,茂名分公司直接实施,,,2023-11-11,"[""600028-2023-legal-reply"", ""600028-2023-accountant-reply""]","[""http://static.sse.com.cn/stock/disclosure/announcement/c/202311/600028_20231111_C0VR.pdf"", ""http://static.sse.com.cn/stock/disclosure/announcement/c/202311/600028_20231111_OS23.pdf""]","[""cd94a65700bbb519d3fae59ba41eb35de140b1a253de1312a1cdf17051cb8fc2"", ""235632826dccb5222b6bb5faedfff811c3a8e23c00bb3c805b937d1e605fbb7e""]","法律意见书 p.4,10-12；会计师回复 p.6-7,17",partial,容量与建设期明确；乙烯来源和投产日未定。,,[],[],[]
600028.SH,中国石化,茂名分公司炼油转型升级及乙烯提质改造项目,mixed_PE,oil_integrated,planned,,茂名分公司直接实施,,,2023-11-11,"[""600028-2023-legal-reply"", ""600028-2023-accountant-reply""]","[""http://static.sse.com.cn/stock/disclosure/announcement/c/202311/600028_20231111_C0VR.pdf"", ""http://static.sse.com.cn/stock/disclosure/announcement/c/202311/600028_20231111_OS23.pdf""]","[""cd94a65700bbb519d3fae59ba41eb35de140b1a253de1312a1cdf17051cb8fc2"", ""235632826dccb5222b6bb5faedfff811c3a8e23c00bb3c805b937d1e605fbb7e""]","法律意见书 p.4,10-12；会计师回复 p.20",partial,产品含PE/PP，但未披露其名义产能和投产日。,,[],[],[]
600346.SH,恒力石化,大连长兴岛炼化板块HDPE装置合计,HDPE,oil_integrated,operating,400000,集团100%控制；恒力炼化/恒力化工拆分未披露,,,2024-08-23,"[""600346-2024-half-year""]","[""http://static.cninfo.com.cn/finalpage/2024-08-23/1220952875.PDF""]","[""520128a9558da49951c7c9340ae3a48c54078e76bea344a8318236b9fee690ee""]","PDF p.9-10,17 业务板块/控股公司",partial,总产能与全面投产明确，实际投产日及法人拆分缺失。,,[],[],[]
600346.SH,恒力石化,大连长兴岛炼化板块聚丙烯装置合计,PP,oil_integrated,operating,850000,集团100%控制；恒力炼化/恒力化工拆分未披露,,,2024-08-23,"[""600346-2024-half-year""]","[""http://static.cninfo.com.cn/finalpage/2024-08-23/1220952875.PDF""]","[""520128a9558da49951c7c9340ae3a48c54078e76bea344a8318236b9fee690ee""]","PDF p.9-10,17 业务板块/控股公司",partial,总产能与全面投产明确，实际投产日及法人拆分缺失。,,[],[],[]
600688.SH,上海石化,10万吨/年EVA项目提前采购设备和技术,other_PE,unknown,disposed_precommission,100000,转让前由上海石化持有；比例未单列,,2023-12-31,2024-03-21,"[""600688-2023-annual""]","[""http://static.cninfo.com.cn/finalpage/2024-03-21/1219360850.PDF""]","[""71b7033e7860f44bec0e7ed58da9294283ada124b4d9beccf086341808fa191d""]",PDF p.38 关连交易,partial,协议执行完毕；不能证明该装置曾投产。,2024-03-21,"[""600688-2023-annual""]","[""http://static.cninfo.com.cn/finalpage/2024-03-21/1219360850.PDF""]","[""71b7033e7860f44bec0e7ed58da9294283ada124b4d9beccf086341808fa191d""]"
600688.SH,上海石化,上海石化炼化基地聚丙烯装置（集团3套合计）,PP,oil_integrated,operating,400000,集团口径；法人/装置权益拆分未披露,2023-12-31,,2024-03-21,"[""600688-2023-annual""]","[""http://static.cninfo.com.cn/finalpage/2024-03-21/1219360850.PDF""]","[""71b7033e7860f44bec0e7ed58da9294283ada124b4d9beccf086341808fa191d""]",PDF p.30-33 主要产品/生产工艺/产能与开工,partial,原油路线和设计产能明确；仅按报告期末保守确认。,,[],[],[]
600688.SH,上海石化,上海石化炼化基地聚乙烯装置（集团3套合计）,mixed_PE,oil_integrated,operating,408000,集团口径；法人/装置权益拆分未披露,2023-12-31,,2024-03-21,"[""600688-2023-annual""]","[""http://static.cninfo.com.cn/finalpage/2024-03-21/1219360850.PDF""]","[""71b7033e7860f44bec0e7ed58da9294283ada124b4d9beccf086341808fa191d""]",PDF p.30-33 主要产品/生产工艺/产能与开工,partial,原油路线和设计产能明确；仅按报告期末保守确认。,,[],[],[]
600989.SH,宝丰能源,宁东二期焦炭气化制60万吨/年烯烃项目PE,mixed_PE,coal_MTO,test_production,300000,100%,2019-10-09,2023-12-30,2023-09-11,"[""600989-2019-project-trial"", ""600989-2023-sse-reply""]","[""http://static.cninfo.com.cn/finalpage/2019-10-09/1206966319.PDF"", ""http://static.sse.com.cn/stock/disclosure/announcement/c/202309/600989_20230911_340B.pdf""]","[""1e57d2bbe28dc57c21afa11acb1e2269be5aa5873268093c81be93146d5152dd"", ""92029a23541b1c02aa3419d394d87a5eac3cb87708070d5b66d8f78958e6035c""]",试车公告 p.1；SSE回复 p.10-11,partial,只确认试生产，正常生产转换日未找到。,2024-03-22,"[""600989-2023-annual""]","[""http://static.cninfo.com.cn/finalpage/2024-03-22/1219374131.PDF""]","[""0b732aee5f629eba4e7be5b0a012bd978e8a8fe1365852abef32c7465ee5307b""]"
600989.SH,宝丰能源,宁东二期焦炭气化制60万吨/年烯烃项目PP,PP,coal_MTO,test_production,300000,100%,2019-10-09,2023-12-30,2023-09-11,"[""600989-2019-project-trial"", ""600989-2023-sse-reply""]","[""http://static.cninfo.com.cn/finalpage/2019-10-09/1206966319.PDF"", ""http://static.sse.com.cn/stock/disclosure/announcement/c/202309/600989_20230911_340B.pdf""]","[""1e57d2bbe28dc57c21afa11acb1e2269be5aa5873268093c81be93146d5152dd"", ""92029a23541b1c02aa3419d394d87a5eac3cb87708070d5b66d8f78958e6035c""]",试车公告 p.1；SSE回复 p.10-11,partial,只确认试生产，正常生产转换日未找到。,2024-03-22,"[""600989-2023-annual""]","[""http://static.cninfo.com.cn/finalpage/2024-03-22/1219374131.PDF""]","[""0b732aee5f629eba4e7be5b0a012bd978e8a8fe1365852abef32c7465ee5307b""]"
600989.SH,宝丰能源,宁东三期煤制烯烃项目PE,mixed_PE,coal_MTO,operating,400000,100%,2023-12-31,,2024-03-22,"[""600989-2023-annual""]","[""http://static.cninfo.com.cn/finalpage/2024-03-22/1219374131.PDF""]","[""0b732aee5f629eba4e7be5b0a012bd978e8a8fe1365852abef32c7465ee5307b""]",PDF p.11-12,partial,年报确认投产及PE增量；使用报告期末保守日期。,,[],[],[]
600989.SH,宝丰能源,宁东三期煤制烯烃项目PP,PP,coal_MTO,operating,500000,100%,2023-12-31,,2024-03-22,"[""600989-2023-annual""]","[""http://static.cninfo.com.cn/finalpage/2024-03-22/1219374131.PDF""]","[""0b732aee5f629eba4e7be5b0a012bd978e8a8fe1365852abef32c7465ee5307b""]",PDF p.11-12,partial,年报确认投产及PP增量；使用报告期末保守日期。,,[],[],[]
600989.SH,宝丰能源,宁东二期焦炭气化制60万吨/年烯烃项目PE,mixed_PE,coal_MTO,operating,300000,100%,2023-12-31,,2024-03-22,"[""600989-2023-sse-reply"", ""600989-2023-annual""]","[""http://static.sse.com.cn/stock/disclosure/announcement/c/202309/600989_20230911_340B.pdf"", ""http://static.cninfo.com.cn/finalpage/2024-03-22/1219374131.PDF""]","[""92029a23541b1c02aa3419d394d87a5eac3cb87708070d5b66d8f78958e6035c"", ""0b732aee5f629eba4e7be5b0a012bd978e8a8fe1365852abef32c7465ee5307b""]","SSE回复 p.10-11；2023年报 p.21,产能与开工表",partial,2023年报确认二期项目已投产；正常生产转换日未知，使用报告期末保守日期。,,[],[],[]
600989.SH,宝丰能源,宁东二期焦炭气化制60万吨/年烯烃项目PP,PP,coal_MTO,operating,300000,100%,2023-12-31,,2024-03-22,"[""600989-2023-sse-reply"", ""600989-2023-annual""]","[""http://static.sse.com.cn/stock/disclosure/announcement/c/202309/600989_20230911_340B.pdf"", ""http://static.cninfo.com.cn/finalpage/2024-03-22/1219374131.PDF""]","[""92029a23541b1c02aa3419d394d87a5eac3cb87708070d5b66d8f78958e6035c"", ""0b732aee5f629eba4e7be5b0a012bd978e8a8fe1365852abef32c7465ee5307b""]","SSE回复 p.10-11；2023年报 p.21,产能与开工表",partial,2023年报确认二期项目已投产；正常生产转换日未知，使用报告期末保守日期。,,[],[],[]
600989.SH,宝丰能源,内蒙古300万吨/年煤制烯烃项目PE,mixed_PE,coal_MTO,operating,1650000,100% ultimate ownership,2025-03-31,,2026-03-13,"[""600989-2020-ownership"", ""600989-2023-sse-reply"", ""600989-2025-annual""]","[""http://static.cninfo.com.cn/finalpage/2020-07-04/1208000725.PDF"", ""http://static.sse.com.cn/stock/disclosure/announcement/c/202309/600989_20230911_340B.pdf"", ""https://static.cninfo.com.cn/finalpage/2026-03-13/1225006969.PDF""]","[""f75dbd67367c450ca00e25119f2a0b39d7cbc7ba4eede49079925d592a59cab9"", ""92029a23541b1c02aa3419d394d87a5eac3cb87708070d5b66d8f78958e6035c"", ""de1c54271e1e69ef4b131ea62ea6f879a36113e374a73400af794e18b76dc3af""]","设立公告 p.1-2；SSE回复 p.10-12；2025年报 p.10,19-20,24",partial,产能与投产来自不同披露；只披露2025年3月，使用月末。,,[],[],[]
600989.SH,宝丰能源,内蒙古300万吨/年煤制烯烃项目PP,PP,coal_MTO,operating,1500000,100% ultimate ownership,2025-03-31,,2026-03-13,"[""600989-2020-ownership"", ""600989-2023-sse-reply"", ""600989-2025-annual""]","[""http://static.cninfo.com.cn/finalpage/2020-07-04/1208000725.PDF"", ""http://static.sse.com.cn/stock/disclosure/announcement/c/202309/600989_20230911_340B.pdf"", ""https://static.cninfo.com.cn/finalpage/2026-03-13/1225006969.PDF""]","[""f75dbd67367c450ca00e25119f2a0b39d7cbc7ba4eede49079925d592a59cab9"", ""92029a23541b1c02aa3419d394d87a5eac3cb87708070d5b66d8f78958e6035c"", ""de1c54271e1e69ef4b131ea62ea6f879a36113e374a73400af794e18b76dc3af""]","设立公告 p.1-2；SSE回复 p.10-12；2025年报 p.10,19-20,24",partial,产能与投产来自不同披露；只披露2025年3月，使用月末。,,[],[],[]
601857.SH,中国石油,吉林石化炼油化工转型升级乙烯项目,unresolved,unknown,operating,,未绑定项目法人权益,2025-12-31,,2026-03-30,"[""601857-2025-annual""]","[""https://static.cninfo.com.cn/finalpage/2026-03-30/1225049425.PDF""]","[""cf3a5d9c3f0ca005ff34b1813f4bb0ea1570472151533da66e4237334c210270""]",PDF p.21-22 业务回顾,unresolved,仅确认乙烯项目整体投产，不能绑定PP/PE装置和容量。,,[],[],[]
601857.SH,中国石油,广西石化炼化一体化转型升级乙烯项目,unresolved,unknown,operating,,未绑定项目法人权益,2025-12-31,,2026-03-30,"[""601857-2025-annual""]","[""https://static.cninfo.com.cn/finalpage/2026-03-30/1225049425.PDF""]","[""cf3a5d9c3f0ca005ff34b1813f4bb0ea1570472151533da66e4237334c210270""]",PDF p.21-22 业务回顾,unresolved,仅确认乙烯项目整体投产，不能绑定PP/PE装置和容量。,,[],[],[]
